year,Time Code,Country Name,ccode,corruption,regulatory
2022,YR2022,Afghanistan,AFG,-1.18377649784088,-1.27180624008179
2022,YR2022,Albania,ALB,-0.407875537872314,0.159353822469711
2022,YR2022,Algeria,DZA,-0.637929856777191,-1.06357324123383
2022,YR2022,American Samoa,ASM,1.27020359039307,0.545899748802185
2022,YR2022,Andorra,AND,1.27020359039307,1.39833402633667
2022,YR2022,Angola,AGO,-0.601941287517548,-0.606698572635651
2022,YR2022,Anguilla,AIA,1.27020359039307,0.972116887569427
2022,YR2022,Antigua and Barbuda,ATG,0.310604453086853,0.28908696770668
2022,YR2022,Argentina,ARG,-0.447030484676361,-0.697565734386444
2022,YR2022,Armenia,ARM,0.0280352365225554,-0.0190788023173809
2022,YR2022,Aruba,ABW,0.756784737110138,0.967042565345764
2022,YR2022,Australia,AUS,1.76448953151703,1.89489328861237
2022,YR2022,Austria,AUT,1.25861942768097,1.28319978713989
2022,YR2022,Azerbaijan,AZE,-1.04057228565216,-0.103344202041626
2022,YR2022,"Bahamas, The",BHS,1.25618994235992,-0.146485969424248
2022,YR2022,Bahrain,BHR,0.139385640621185,0.970633506774902
2022,YR2022,Bangladesh,BGD,-1.0755273103714,-0.927658915519714
2022,YR2022,Barbados,BRB,1.28457343578339,0.476500302553177
2022,YR2022,Belarus,BLR,-0.57967621088028,-1.33121407032013
2022,YR2022,Belgium,BEL,1.49504864215851,1.25295519828796
2022,YR2022,Belize,BLZ,-0.237028583884239,-0.438766330480576
2022,YR2022,Benin,BEN,-0.124255605041981,-0.348364651203156
2022,YR2022,Bermuda,BMU,1.27020359039307,0.972116887569427
2022,YR2022,Bhutan,BTN,1.51425933837891,-0.381970435380936
2022,YR2022,Bolivia,BOL,-0.889222621917725,-1.21053624153137
2022,YR2022,Bosnia and Herzegovina,BIH,-0.683835208415985,-0.157615318894386
2022,YR2022,Botswana,BWA,0.661455094814301,0.621043562889099
2022,YR2022,Brazil,BRA,-0.566063046455383,-0.220437631011009
2022,YR2022,Brunei Darussalam,BRN,1.17481958866119,1.06704342365265
2022,YR2022,Bulgaria,BGR,-0.157897114753723,0.320686906576157
2022,YR2022,Burkina Faso,BFA,-0.0836108103394508,-0.468305677175522
2022,YR2022,Burundi,BDI,-1.518141746521,-0.947485685348511
2022,YR2022,Cabo Verde,CPV,0.983122944831848,0.263682216405869
2022,YR2022,Cambodia,KHM,-1.24149858951569,-0.709801018238068
2022,YR2022,Cameroon,CMR,-1.12793481349945,-0.898889482021332
2022,YR2022,Canada,CAN,1.65857982635498,1.67709279060364
2022,YR2022,Cayman Islands,CYM,0.457741022109985,1.0855724811554
2022,YR2022,Central African Republic,CAF,-1.24606657028198,-1.47418415546417
2022,YR2022,Chad,TCD,-1.48808419704437,-1.14935708045959
2022,YR2022,Chile,CHL,0.968280136585236,0.978411138057709
2022,YR2022,China,CHN,0.0159702487289906,-0.418417632579803
2022,YR2022,Colombia,COL,-0.361808151006699,0.140449166297913
2022,YR2022,Comoros,COM,-1.2444132566452,-1.20053803920746
2022,YR2022,"Congo, Dem. Rep.",COD,-1.54447400569916,-1.47606945037842
2022,YR2022,"Congo, Rep.",COG,-1.35945165157318,-1.26143133640289
2022,YR2022,Cook Islands,COK,0.048777163028717,-0.0767629966139793
2022,YR2022,Costa Rica,CRI,0.465849369764328,0.567061722278595
2022,YR2022,Cote d'Ivoire,CIV,-0.348596215248108,-0.152012959122658
2022,YR2022,Croatia,HRV,0.148001134395599,0.502549886703491
2022,YR2022,Cuba,CUB,-0.0693471655249596,-1.38185942173004
2022,YR2022,Cyprus,CYP,0.421609163284302,0.773753821849823
2022,YR2022,Czechia,CZE,0.663116157054901,1.38589835166931
2022,YR2022,Denmark,DNK,2.40274429321289,1.84312748908997
2022,YR2022,Djibouti,DJI,-0.793283402919769,-0.899799406528473
