year,Time Code,Country Name,ccode,gdp_per_capita,gdp
2015,YR2015,Haiti,HTI,1405.71477634354,14849629308.6025
2015,YR2015,Honduras,HND,2257.22528369354,20979791685.416
2015,YR2015,"Hong Kong SAR, China",HKG,42432.1619740441,309385622601.348
2015,YR2015,Hungary,HUN,12717.038597002,125174166987.372
2015,YR2015,Iceland,ISL,52951.6815110898,17517210519.0912
2015,YR2015,India,IND,1590.17433134297,2103588360044.39
2015,YR2015,Indonesia,IDN,3322.58167895444,860854232686.214
2015,YR2015,"Iran, Islamic Rep.",IRN,4990.93679541655,408212917874.964
2015,YR2015,Iraq,IRQ,4416.94292408042,166774104959.102
2015,YR2015,Ireland,IRL,62179.2642662951,292364226871.756
2015,YR2015,Isle of Man,IMN,84753.5187422732,7084800892.22284
2015,YR2015,Israel,ISR,36206.5222171621,303414276832.04
2015,YR2015,Italy,ITA,30242.3861352184,1836637711060.55
2015,YR2015,Jamaica,JAM,5077.55096915616,14188936918.0036
2015,YR2015,Japan,JPN,34960.6393843385,4444930651964.18
2015,YR2015,Jordan,JOR,4064.25301043642,38587017887.3239
2015,YR2015,Kazakhstan,KAZ,10510.7703240885,184388404706.042
2015,YR2015,Kenya,KEN,1496.65357260021,70120446896.8359
2015,YR2015,Kiribati,KIR,1641.48097739743,191572320.429122
2015,YR2015,"Korea, Dem. People's Rep.",PRK,..,..
2015,YR2015,"Korea, Rep.",KOR,28737.4391706499,1466038936206.43
2015,YR2015,Kosovo,XKX,3520.78207462478,6295848422.71573
2015,YR2015,Kuwait,KWT,29315.1931019553,114585555830.916
2015,YR2015,Kyrgyz Republic,KGZ,1121.08269597662,6678177511.66313
2015,YR2015,Lao PDR,LAO,2125.4589005996,14426380125.6488
2015,YR2015,Latvia,LVA,13786.4567953114,27263090547.0617
2015,YR2015,Lebanon,LBN,7802.75136769776,49929337836.8159
2015,YR2015,Lesotho,LSO,1113.83683453612,2359686724.53829
2015,YR2015,Liberia,LBR,699.662946853965,3227075700
2015,YR2015,Libya,LBY,7867.51493141091,48717501321.3052
2015,YR2015,Liechtenstein,LIE,167809.269874833,6268515276.17441
2015,YR2015,Lithuania,LTU,14263.9645773495,41435533340.3883
2015,YR2015,Luxembourg,LUX,105462.012584423,60071584216.1375
2015,YR2015,"Macao SAR, China",MAC,73220.6355551661,45048190598.3249
2015,YR2015,Madagascar,MDG,455.63803458407,11323020701.3017
2015,YR2015,Malawi,MWI,544.276872741836,9219474379.31534
2015,YR2015,Malaysia,MYS,9699.60046342736,301355266964.947
2015,YR2015,Maldives,MDV,9480.43151261807,4129505319.12921
2015,YR2015,Mali,MLI,723.504204947663,13104764378.326
2015,YR2015,Malta,MLT,24921.7141769982,11091483659.6156
2015,YR2015,Marshall Islands,MHL,3708.21556179322,183222930.908203
2015,YR2015,Mauritania,MRT,1562.72683648828,6166863896.68677
2015,YR2015,Mauritius,MUS,9507.87133656424,12007291045.6489
2015,YR2015,Mexico,MEX,10098.173182095,1213294467716.88
2015,YR2015,"Micronesia, Fed. Sts.",FSM,2891.32210264749,316489900
2015,YR2015,Moldova,MDA,2749.55137054338,7797667196.73087
2015,YR2015,Monaco,MCO,170338.680381498,6261649890.82388
2015,YR2015,Mongolia,MNG,3919.35121343969,11619892590.6941
2015,YR2015,Montenegro,MNE,6517.19267514764,4054730077.57718
2015,YR2015,Morocco,MAR,3139.22827148438,110413823841.592
2015,YR2015,Mozambique,MOZ,603.838513777915,16208985769.615
2015,YR2015,Myanmar,MMR,1157.78396112581,59607290407.6191
2015,YR2015,Namibia,NAM,4965.67276506551,11335161083.5061
2015,YR2015,Nauru,NRU,7587.25441038889,84863440.5801997
2015,YR2015,Nepal,NPL,882.30766159992,24360801286.7638
2015,YR2015,Netherlands,NLD,45193.4032187971,765572770634.375
2015,YR2015,New Caledonia,NCL,32428.5722348241,8738203074.3957
2015,YR2015,New Zealand,NZL,38639.3501941427,178104220784.881
2015,YR2015,Nicaragua,NIC,2025.32477597575,12756706583.3113
2015,YR2015,Niger,NER,481.111301105002,9683867926.44282
2015,YR2015,Nigeria,NGA,2679.5542234874,493026682800.63
2015,YR2015,North Macedonia,MKD,5262.68671928674,10064519962.5655
2015,YR2015,Northern Mariana Islands,MNP,17665.1007493109,910000000
2015,YR2015,Norway,NOR,74809.9658049898,388159512245.53
2015,YR2015,Oman,OMN,18777.4330589162,78710793237.9714
2015,YR2015,Pakistan,PAK,1421.83527830089,299963590534.773
2015,YR2015,Palau,PLW,16141.1696583338,287215972.900391
2015,YR2015,Panama,PAN,13669.5594424097,54091800000
2015,YR2015,Papua New Guinea,PNG,2502.07344498028,21723437010.0982
2015,YR2015,Paraguay,PRY,5861.40189546648,36211447840.0971
2015,YR2015,Peru,PER,6180.11926810233,189802976285.619
2015,YR2015,Philippines,PHL,2974.29691673713,306445871246.718
2015,YR2015,Poland,POL,12560.051419682,477111287969.227
2015,YR2015,Portugal,PRT,19250.1065376852,199394066525.44
2015,YR2015,Puerto Rico,PRI,29763.4883013861,103375500000
2015,YR2015,Qatar,QAT,66984.9102002396,161739955576.923
2015,YR2015,Romania,ROU,8976.9544892648,177883883008.747
2015,YR2015,Russian Federation,RUS,9277.7138671875,1363482182197.71
2015,YR2015,Rwanda,RWA,733.813379277367,8543759088.57783
2015,YR2015,Samoa,WSM,4048.46711296568,824150498.653536
2015,YR2015,San Marino,SMR,42281.8112549264,1419400403.82788
2015,YR2015,Sao Tome and Principe,STP,1292.73305546523,259999643.047388
2015,YR2015,Saudi Arabia,SAU,20442.3625620084,669484266666.667
2015,YR2015,Senegal,SEN,1238.12639978389,17774766696.1759
2015,YR2015,Serbia,SRB,5588.9794435877,39655949731.3816
2015,YR2015,Seychelles,SYC,15333.1051727105,1432403352.12944
2015,YR2015,Sierra Leone,SLE,581.293411814954,4252029353.82191
2015,YR2015,Singapore,SGP,55645.6068614606,307998545269.398
2015,YR2015,Sint Maarten (Dutch part),SXM,36519.9926615273,1417888715.0838
2015,YR2015,Slovak Republic,SVK,16390.8821748507,88900883130.8374
2015,YR2015,Slovenia,SVN,20890.1664304173,43107506024.3254
2015,YR2015,Solomon Islands,SLB,2134.80541826155,1307909887.55212
2015,YR2015,Somalia,SOM,507.482915467098,6984947145.09508
2015,YR2015,South Africa,ZAF,6204.92990145846,346709790458.563
2015,YR2015,South Sudan,SSD,1071.77776475545,11997800760.2242
2015,YR2015,Spain,ESP,25754.36102944,1196156971279.69
2015,YR2015,Sri Lanka,LKA,3990.35311739446,85140955388.8509
2015,YR2015,St. Kitts and Nevis,KNA,20029.759828881,957222222.222222
2015,YR2015,St. Lucia,LCA,10292.7335300088,1807640740.74074
2015,YR2015,St. Martin (French part),MAF,..,..
2015,YR2015,St. Vincent and the Grenadines,VCT,7386.74663845115,786555555.555555
2015,YR2015,Sudan,SDN,1355.12609863281,51726758676.7677
2015,YR2015,Suriname,SUR,8907.83725830091,5126237646.22072
2015,YR2015,Sweden,SWE,51545.4836095322,505103781349.757
2015,YR2015,Switzerland,CHE,83806.4476003837,694118186379.628
2015,YR2015,Syrian Arab Republic,SYR,857.417884760688,16466863097.2125
2015,YR2015,Tajikistan,TJK,970.362547188452,8271431485.07484
2015,YR2015,Tanzania,TZA,929.7998046875,47413919817.124
2015,YR2015,Thailand,THA,5708.79409105798,401296238228.084
2015,YR2015,Timor-Leste,TLS,1322.9290943123,1595205100
2015,YR2015,Togo,TGO,770.143807374741,5755461035.44333
2015,YR2015,Tonga,TON,4117.93104694205,437003078.563584
2015,YR2015,Trinidad and Tobago,TTO,18508.770502876,27026080986.578
2015,YR2015,Tunisia,TUN,3960.92484913663,45779494041.9295
2015,YR2015,Turkiye,TUR,11049.9951100942,864313810469.009
2015,YR2015,Turkmenistan,TKM,6208.2966545016,35799714285.7143
2015,YR2015,Turks and Caicos Islands,TCA,25783.2941047676,942070000
2015,YR2015,Tuvalu,TUV,3384.38320147639,36811936.0824587
2015,YR2015,Uganda,UGA,864.180059289672,32387183730.1002
2015,YR2015,Ukraine,UKR,2124.66259765625,91030967789.0717
2015,YR2015,United Arab Emirates,ARE,41525.1389043587,370275469571.137
2015,YR2015,United Kingdom,GBR,44964.3911437292,2927911140916.73
2015,YR2015,United States,USA,57040.2082136605,18295019000000
2015,YR2015,Uruguay,URY,16950.7531694816,57680327998.6689
2015,YR2015,Uzbekistan,UZB,2753.97105825798,86196264755.3105
2015,YR2015,Vanuatu,VUT,2643.8868859095,730870802.967051
2015,YR2015,"Venezuela, RB",VEN,..,..
2015,YR2015,Viet Nam,VNM,2595.23484372958,239258328381.741
2015,YR2015,Virgin Islands (U.S.),VIR,34007.3529411765,3663000000
2015,YR2015,West Bank and Gaza,PSE,3272.15432360708,13972400000
