,country,year,ccode,start,end,group_visit,group_order,group_id,leader,leader_id,office,url,last_accessed,meeting,note
216,Myanmar,2020,MMR,January 17 2020,January 18 2020,0.0,1.0,88.0,Xi Jinping,3.0,President,http://www.xinhuanet.com/politics/leaders/2020-01/17/c_1125475101.htm,January 12 2022,,
217,Luxembourg,1998,LUX,February 12 1998,February 14 1998,1.0,1.0,1.0,Li Peng,0.0,Premier,https://www.gmw.cn/01gmrb/1998-02/13/GB/17602%5EGM1-1316.HTM,January 13 2022,,
218,Netherlands,1998,NLD,February 14 1998,February 17 1998,1.0,2.0,1.0,Li Peng,0.0,Premier,https://www.gmw.cn/01gmrb/1998-02/15/GB/17604%5EGM1-1516.HTM,January 13 2022,,
219,Russian Federation,1998,RUS,February 17 1998,February 18 1998,1.0,3.0,1.0,Li Peng,0.0,Premier,http://www.peopledaily.com.cn/9802/19/current/newfiles/a1061.html,January 13 2022,,
220,United Kingdom,1998,GBR,March 31 1998,April 5 1998,1.0,1.0,2.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1998-04/01/GB/17649%5EGM1-0121.HTM,January 13 2022,Asia-Europe Meeting,
221,France,1998,FRA,April 5 1998,April 7 1998,1.0,2.0,2.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1998-04/08/GB/17656%5EGM1-0812.HTM,January 13 2022,,
222,Russian Federation,1999,RUS,February 24 1999,February 27 1999,0.0,1.0,3.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-02/25/GB/17978%5EGM1-2519.HTM,January 13 2022,,
223,United States,1999,USA,April 6 1999,April 14 1999,1.0,1.0,4.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-04/07/GB/18019%5EGM1-0716.HTM,January 13 2022,,
224,Canada,1999,CAN,April 14 1999,April 20 1999,1.0,2.0,4.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-04/16/GB/18028%5EGM1-1614.HTM,January 13 2022,,
225,Malaysia,1999,MYS,November 22 1999,November 26 1999,1.0,1.0,5.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-11/23/GB/GM%5E18249%5E1%5EGM1-2311.HTM,January 13 2022,,
226,Philippines,1999,PHL,November 26 1999,November 29 1999,1.0,2.0,5.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-11/27/GB/GM%5E18253%5E1%5EGM1-2713.HTM,January 13 2022,ASEAN,
227,Singapore,1999,SGP,November 29 1999,December 1 1999,1.0,3.0,5.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-11/30/GB/GM%5E18256%5E1%5EGM1-3005.HTM,January 13 2022,,
228,Vietnam,1999,VNM,December 1 1999,December 4 1999,1.0,4.0,5.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/1999-12/02/GB/GM%5E18258%5E1%5EGM1-0209.HTM,January 13 2022,,
229,Bulgaria,2000,BGR,June 27 2000,June 29 2000,1.0,1.0,6.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-06/16/GB/06%5E18453%5E0%5EGMA1-114.htm,January 14 2022,,
230,Germany,2000,DEU,June 29 2000,July 3 2000,1.0,2.0,6.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-07/01/GB/06%5E18468%5E0%5EGMA1-014.htm,January 14 2022,,
231,Luxembourg,2000,LUX,July 3 2000,July 4 2000,1.0,3.0,6.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-07/05/GB/07%5E18472%5E0%5EGMA1-007.htm,January 14 2022,,
232,Netherlands,2000,NLD,July 4 2000,July 5 2000,1.0,4.0,6.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-07/06/GB/07%5E18473%5E0%5EGMA1-011.htm,January 14 2022,,
233,Italy,2000,ITA,July 5 2000,July 9 2000,1.0,5.0,6.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-07/07/GB/07%5E18474%5E0%5EGMA1-016.htm,January 14 2022,,
234,Belgium,2000,BEL,July 9 2000,July 11 2000,1.0,6.0,6.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-07/11/GB/07%5E18478%5E0%5EGMA1-109.htm,January 14 2022,,
235,Japan,2000,JPN,October 12 2000,October 17 2000,1.0,1.0,7.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-10/13/GB/10%5E18572%5E0%5EGMA1-110.htm,January 14 2022,,
236,"Korea, Republic of",2000,KOR,October 17 2000,October 22 2000,1.0,2.0,7.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2000-10/18/GB/10%5E18577%5E0%5EGMA1-107.htm,January 14 2022,Asia-Europe Meeting,
237,Pakistan,2001,PAK,May 11 2001,May 14 2001,1.0,1.0,8.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-05/12/01-C7A06C472FAB112C48256A490082B5A5.htm,January 14 2022,,
238,Nepal,2001,NPL,May 14 2001,May 16 2001,1.0,2.0,8.0,Zhu Rongji,1.0,Premier,https://www.chinanews.com.cn/2001-05-16/26/91632.html,January 14 2022,,
239,Maldives,2001,MDV,May 16 2001,May 17 2001,1.0,3.0,8.0,Zhu Rongji,1.0,Premier,https://www.chinanews.com.cn/2001-05-16/26/91632.html,January 14 2022,,
240,Sri Lanka,2001,LKA,May 17 2001,May 19 2001,1.0,4.0,8.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-05/18/01-2E2CDE4D987438C648256A4F008052A7.htm,January 14 2022,,
241,Thailand,2001,THA,May 19 2001,May 22 2001,1.0,5.0,8.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-05/20/01-01736F9DF706961448256A5200002258.htm,January 14 2022,,
242,Ireland,2001,IRL,September 2 2001,September 5 2001,1.0,1.0,9.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-09/03/01-6A254E4C0F768D4C48256ABB00812A69.htm,January 15 2022,,
243,Belgium,2001,BEL,September 5 2001,September 7 2001,1.0,2.0,9.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-09/06/01-97E0B2D183D0273548256ABE0082596B.htm,January 15 2022,China-EU Summit,
244,Russian Federation,2001,RUS,September 7 2001,September 12 2001,1.0,3.0,9.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-09/08/01-4127CB5E1B8DC1E448256AC000657B05.htm,January 15 2022,,
245,Kazakhstan,2001,KAZ,September 12 2001,September 15 2001,1.0,4.0,9.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2001-09/13/01-47D2AC81280380BA48256AC500823175.htm,January 15 2022,Shanghai Cooperation Organisation,
246,Indonesia,2001,IDN,November 7 2001,November 11 2001,0.0,1.0,10.0,Zhu Rongji,1.0,Premier,https://www.chinanews.com.cn/2001-11-07/26/136792.html,January 15 2022,,
247,Bangladesh,2002,BGD,January 11 2002,January 13 2002,1.0,1.0,11.0,Zhu Rongji,1.0,Premier,https://www.chinanews.com.cn/2002-01-11/26/153713.html,January 15 2022,,
248,India,2002,IND,January 13 2002,January 18 2002,1.0,2.0,11.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-01/14/01-50E67DA549976B7F48256B4000810626.htm,January 15 2022,,
249,Turkey,2002,TUR,April 15 2002,April 19 2002,1.0,1.0,12.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-04/16/01-3FFCEBE16DBFBD7548256B9C0080CBBF.htm,January 15 2022,,
250,Egypt,2002,EGY,April 19 2002,April 23 2002,1.0,2.0,12.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-04/20/01-762022DF0ED95BF048256BA1000C7DE4.htm,January 15 2022,,
251,Kenya,2002,KEN,April 23 2002,April 26 2002,1.0,3.0,12.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-04/24/01-C458130BA633D8D748256BA400805621.htm,January 15 2022,,
252,Algeria,2002,DZA,August 25 2002,August 27 2002,1.0,1.0,13.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-08/26/01-6F3A2FC82093A12148256C21000043D7.htm,January 15 2022,,
253,Morocco,2002,MAR,August 27 2002,August 29 2002,1.0,2.0,13.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-08/28/01-78E53EEE8D7C952148256C2300002B29.htm,January 15 2022,,
254,Cameroon,2002,CMR,August 29 2002,August 31 2002,1.0,3.0,13.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-08/30/01-64D3CEDBE30D37DE48256C2400826C04.htm,January 15 2022,,
255,South Africa,2002,ZAF,August 31 2002,September 6 2002,1.0,4.0,13.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-09/01/01-7972188271205DA448256C27000116F7.htm,January 15 2022,Earth Summit,
256,Austria,2002,AUT,September 19 2002,September 22 2002,1.0,1.0,14.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-09/21/02-84DD9B9FA7A5A5AE48256C3B00115121.htm,January 15 2022,,
257,Denmark,2002,DNK,September 22 2002,September 26 2002,1.0,2.0,14.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-09/23/01-6EB68BBF9022BD3E48256C3D0003FB3B.htm,January 15 2022,Asia-Europe Meeting & China-EU Summit,
258,France,2002,FRA,September 26 2002,September 28 2002,1.0,3.0,14.0,Zhu Rongji,1.0,Premier,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/xgxw_679140/200209/t20020927_9338321.shtml,January 15 2022,,
259,Cambodia,2002,KHM,November 1 2002,November 5 2002,0.0,1.0,15.0,Zhu Rongji,1.0,Premier,https://www.gmw.cn/01gmrb/2002-11/02/02-71CDB9D04DADFEEF48256C64008305C7.htm,January 15 2022,ASEAN,
260,United States,2003,USA,December 7 2003,December 10 2003,1.0,1.0,16.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2003-12/09/01-6FFA4510CDECC46048256DF6008328D3.htm,January 15 2022,,
261,Canada,2003,CAN,December 10 2003,December 12 2003,1.0,2.0,16.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2003-12/13/02-FE25E9E7E35B769548256DFA0082FB26.htm,January 15 2022,,
262,Mexico,2003,MEX,December 12 2003,December 13 2003,1.0,3.0,16.0,Wen Jiabao,2.0,Premier,https://www.fmprc.gov.cn/ce/cohk/chn/zt/2003zt/wzlsg/t56166.htm,January 15 2022,,
263,Ethiopia,2003,ETH,December 14 2003,December 16 2003,1.0,4.0,16.0,Wen Jiabao,2.0,Premier,https://www.fmprc.gov.cn/ce/cohk/chn/zt/2003zt/wzlsg/t56236.htm,January 15 2022,Forum on China-Africa Cooperation,
264,Germany,2004,DEU,May 2 2004,May 5 2004,1.0,1.0,17.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-05/03/content_20578.htm,January 15 2022,,
265,Belgium,2004,BEL,May 5 2004,May 6 2004,1.0,2.0,17.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-05/07/content_20980.htm,January 15 2022,,
266,Italy,2004,ITA,May 6 2004,May 9 2004,1.0,3.0,17.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-05/08/content_21085.htm,January 15 2022,,
267,United Kingdom,2004,GBR,May 9 2004,May 11 2004,1.0,4.0,17.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-05/10/content_21888.htm,January 15 2022,,
268,Ireland,2004,IRL,May 11 2004,May 12 2004,1.0,5.0,17.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-05/13/content_26863.htm,January 15 2022,,
269,Kyrgyz Republic,2004,KGZ,September 21 2004,September 23 2004,1.0,1.0,18.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-09/22/content_104715.htm,January 15 2022,Shanghai Cooperation Organisation,
270,Russian Federation,2004,RUS,September 23 2004,September 25 2004,1.0,2.0,18.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-09/24/content_106114.htm,January 15 2022,,
271,Vietnam,2004,VNM,October 6 2004,October 9 2004,0.0,1.0,19.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-10/08/content_110890.htm,January 15 2022,Asia-Europe Meeting,
272,Lao People's Dem.Rep,2004,LAO,November 28 2004,November 30 2004,0.0,1.0,20.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2004-11/29/content_140022.htm,January 15 2022,ASEAN,
273,Netherlands,2004,NLD,December 7 2004,December 9 2004,0.0,1.0,21.0,Wen Jiabao,2.0,Premier,https://www.mfa.gov.cn/chn/pds/gjhdq/gj/oz/1206_18/xgxw/t173555.htm,January 15 2022,China-EU Summit,
274,Pakistan,2005,PAK,April 5 2005,April 7 2005,1.0,1.0,22.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-04/06/content_210596.htm,January 15 2022,Asia Cooperation Dialogue,
275,Bangladesh,2005,BGD,April 7 2005,April 8 2005,1.0,2.0,22.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-04/08/content_212215.htm,January 15 2022,,
276,Sri Lanka,2005,LKA,April 8 2005,April 9 2005,1.0,3.0,22.0,Wen Jiabao,2.0,Premier,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676884/1207_676896/200504/t20050412_9303257.shtml,January 15 2022,,
277,India,2005,IND,April 9 2005,April 12 2005,1.0,4.0,22.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2005-04/10/content_14508.htm,January 15 2022,,
278,France,2005,FRA,December 4 2005,December 7 2005,1.0,1.0,23.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-12/05/content_340792.htm,January 15 2022,,
279,Slovak Republic,2005,SVK,December 7 2005,December 8 2005,1.0,2.0,23.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-12/08/content_342605.htm,January 15 2022,,
280,Czech Republic,2005,CZE,December 8 2005,December 9 2005,1.0,3.0,23.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-12/09/content_343350.htm,January 15 2022,,
281,Portugal,2005,PRT,December 9 2005,December 10 2005,1.0,4.0,23.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-12/11/content_344223.htm,January 15 2022,,
282,Malaysia,2005,MYS,December 11 2005,December 15 2005,1.0,5.0,23.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2005-12/12/content_344422.htm,January 15 2022,ASEAN,
283,Australia,2006,AUS,April 1 2006,April 4 2006,1.0,1.0,24.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-04/02/content_397793.htm,January 15 2022,,
284,Fiji,2006,FJI,April 4 2006,April 5 2006,1.0,2.0,24.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-04/05/content_399120.htm,January 15 2022,China-Pacific Island Countries Economic Development and Cooperation Forum,
285,New Zealand,2006,NZL,April 5 2006,April 7 2006,1.0,3.0,24.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-04/06/content_399816.htm,January 15 2022,,
286,Cambodia,2006,KHM,April 7 2006,April 8 2006,1.0,4.0,24.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-04/08/content_401071.htm,January 15 2022,,
287,Egypt,2006,EGY,June 17 2006,June 18 2006,1.0,1.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/18/content_435503.htm,January 15 2022,,
288,Ghana,2006,GHA,June 18 2006,June 19 2006,1.0,2.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/20/content_436423.htm,January 15 2022,,
289,"Congo, Republic of",2006,COG,June 19 2006,June 20 2006,1.0,3.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/21/content_437142.htm,January 15 2022,,
290,Angola,2006,AGO,June 20 2006,June 21 2006,1.0,4.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/22/content_437780.htm,January 15 2022,,
291,South Africa,2006,ZAF,June 21 2006,June 22 2006,1.0,5.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/23/content_438332.htm,January 15 2022,,
292,Tanzania,2006,TZA,June 22 2006,June 23 2006,1.0,6.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/24/content_439137.htm,January 15 2022,,
293,Uganda,2006,UGA,June 23 2006,June 24 2006,1.0,7.0,25.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-06/25/content_439518.htm,January 15 2022,,
294,Finland,2006,FIN,September 9 2006,September 12 2006,1.0,1.0,26.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-09/10/content_477588.htm,January 15 2022,Asia-Europe Meeting & China-EU Summit,
295,United Kingdom,2006,GBR,September 12 2006,September 13 2006,1.0,2.0,26.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-09/14/content_479666.htm,January 15 2022,,
296,Germany,2006,DEU,September 13 2006,September 14 2006,1.0,3.0,26.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2006-09/14/content_388141.htm,January 15 2022,,
297,Tajikistan,2006,TJK,September 14 2006,September 16 2006,1.0,4.0,26.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2006-09/16/content_480778.htm,January 15 2022,Shanghai Cooperation Organisation,
298,Philippines,2007,PHL,January 15 2007,January 16 2007,0.0,1.0,27.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-01/16/content_536436.htm,January 15 2022,ASEAN,
299,"Korea, Republic of",2007,KOR,April 10 2007,April 11 2007,1.0,1.0,28.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-04/11/content_588277.htm,January 15 2022,,
300,Japan,2007,JPN,April 11 2007,April 13 2007,1.0,2.0,28.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-04/12/content_589135.htm,January 15 2022,,
301,Uzbekistan,2007,UZB,November 2 2007,November 3 2007,1.0,1.0,29.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-11/03/content_692535.htm,January 15 2022,Shanghai Cooperation Organisation,
302,Turkmenistan,2007,TKM,November 3 2007,November 4 2007,1.0,2.0,29.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-11/04/content_692606.htm,January 15 2022,,
303,Belarus,2007,BLR,November 4 2007,November 5 2007,1.0,3.0,29.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-11/05/content_692753.htm,January 15 2022,,
304,Russian Federation,2007,RUS,November 5 2007,November 7 2007,1.0,4.0,29.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2007-11/06/content_693386.htm,January 15 2022,,
305,Singapore,2007,SGP,November 18 2007,November 21 2007,0.0,1.0,30.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2007-11/19/content_809506.htm,January 15 2022,ASEAN,
306,Lao People's Dem.Rep,2008,LAO,March 29 2008,March 31 2008,0.0,1.0,31.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2008-03/30/content_754885.htm,January 15 2022,Greater Mekong Subregion Summit,
307,Russian Federation,2008,RUS,October 27 2008,October 29 2008,1.0,1.0,32.0,Wen Jiabao,2.0,Premier,https://epaper.gmw.cn/gmrb/html/2008-10/28/nw.D110000gmrb_20081028_6-01.htm,January 15 2022,,
308,Kazakhstan,2008,KAZ,October 29 2008,October 31 2008,1.0,2.0,32.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2008-10/29/content_1135260.htm,January 15 2022,Shanghai Cooperation Organisation,
309,Switzerland,2009,CHE,January 27 2009,January 28 2009,1.0,1.0,33.0,Wen Jiabao,2.0,Premier,https://epaper.gmw.cn/gmrb/html/2009-01/28/nw.D110000gmrb_20090128_3-01.htm,January 15 2022,Davos,
310,Germany,2009,DEU,January 28 2009,January 29 2009,1.0,2.0,33.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2009-01/29/content_1216763.htm,January 15 2022,,
311,Spain,2009,ESP,January 30 2009,January 31 2009,1.0,3.0,33.0,Wen Jiabao,2.0,Premier,https://epaper.gmw.cn/gmrb/html/2009-02/01/nw.D110000gmrb_20090201_4-01.htm,January 15 2022,,
312,United Kingdom,2009,GBR,January 31 2009,February 2 2009,1.0,4.0,33.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2009-02/02/content_883140.htm,January 15 2022,,
313,North Korea,2009,PRK,October 4 2009,October 6 2009,0.0,1.0,34.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2009-10/04/content_1432528.htm,January 15 2022,,
314,Egypt,2009,EGY,November 6 2009,November 8 2009,0.0,1.0,35.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2009-11/07/content_1004890.htm,January 15 2022,Forum on China-Africa Cooperation,
315,"Korea, Republic of",2010,KOR,May 28 2010,May 30 2010,1.0,1.0,36.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2010-05/29/content_1136278.htm,January 15 2022,China-Japan-South Korea Trilateral Summit,
316,Japan,2010,JPN,May 30 2010,June 1 2010,1.0,2.0,36.0,Wen Jiabao,2.0,Premier,https://epaper.gmw.cn/gmrb/html/2010-05/31/nw.D110000gmrb_20100531_2-01.htm,January 15 2022,,
317,Mongolia,2010,MNG,June 1 2010,June 2 2010,1.0,3.0,36.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-06/01/content_1618388.htm,January 15 2022,,
318,Myanmar,2010,MMR,June 2 2010,June 3 2010,1.0,4.0,36.0,Wen Jiabao,2.0,Premier,https://www.gmw.cn/01gmrb/2010-06/03/content_1140556.htm,January 15 2022,,
319,Greece,2010,GRC,October 2 2010,October 4 2010,1.0,1.0,37.0,Wen Jiabao,2.0,Premier,https://epaper.gmw.cn/gmrb/html/2010-10/03/nw.D110000gmrb_20101003_5-02.htm,January 15 2022,,
320,Belgium,2010,BEL,October 4 2010,October 6 2010,1.0,2.0,37.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-10/04/content_1715653.htm,January 15 2022,Asia-Europe Meeting & China-EU Summit,
321,Italy,2010,ITA,October 6 2010,October 7 2010,1.0,3.0,37.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-10/07/content_1716464.htm,January 15 2022,,
322,Turkey,2010,TUR,October 7 2010,October 9 2010,1.0,4.0,37.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-10/08/content_1716948.htm,January 15 2022,,
323,Russian Federation,2010,RUS,November 22 2010,November 24 2010,1.0,1.0,38.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-11/23/content_1750923.htm,January 15 2022,,
324,Tajikistan,2010,TJK,November 24 2010,November 25 2010,1.0,2.0,38.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-11/25/content_1752859.htm,January 15 2022,Shanghai Cooperation Organisation,
325,India,2010,IND,December 15 2010,December 17 2010,1.0,1.0,39.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2010-12/15/content_1766361.htm,January 15 2022,,
326,Pakistan,2010,PAK,December 17 2010,December 19 2010,1.0,2.0,39.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/jrzg/2010-12/17/content_1768247.htm,January 15 2022,,
327,Malaysia,2011,MYS,April 27 2011,April 28 2011,1.0,1.0,40.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/jrzg/2011-04/27/content_1853633.htm,January 15 2022,,
328,Indonesia,2011,IDN,April 28 2011,April 30 2011,1.0,2.0,40.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2011-04/28/content_1854690.htm,January 15 2022,,
329,Hungary,2011,HUN,June 24 2011,June 25 2011,1.0,1.0,41.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2011-06/24/content_1892303.htm,January 15 2022,,
330,United Kingdom,2011,GBR,June 25 2011,June 27 2011,1.0,2.0,41.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/jrzg/2011-06/26/content_1892896.htm,January 15 2022,,
331,Germany,2011,DEU,June 27 2011,June 28 2011,1.0,3.0,41.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2011-06/28/content_1894412.htm,January 15 2022,,
332,Brunei Darussalam,2011,BRN,November 20 2011,November 21 2011,0.0,1.0,42.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2011-11/20/content_1998625.htm,January 15 2022,,
333,Nepal,2012,NPL,January 14 2012,January 14 2012,1.0,1.0,43.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-01/15/content_2044514.htm,January 15 2022,,
334,Saudi Arabia,2012,SAU,January 14 2012,January 16 2012,1.0,2.0,43.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-01/15/content_2044505.htm,January 15 2022,,
335,United Arab Emirates,2012,ARE,January 16 2012,January 18 2012,1.0,3.0,43.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-01/16/content_2045565.htm,January 15 2022,,
336,Qatar,2012,QAT,January 18 2012,January 19 2012,1.0,4.0,43.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-01/18/content_2048212.htm,January 15 2022,,
337,Iceland,2012,ISL,April 20 2012,April 22 2012,1.0,1.0,44.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-04/20/content_2118747.htm,January 15 2022,,
338,Sweden,2012,SWE,April 23 2012,April 25 2012,1.0,2.0,44.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-04/24/content_2120973.htm,January 15 2022,,
339,Poland,2012,POL,April 25 2012,April 27 2012,1.0,3.0,44.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-04/25/content_2123530.htm,January 15 2022,,
340,Brazil,2012,BRA,June 20 2012,June 22 2012,1.0,1.0,45.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/jrzg/2012-06/21/content_2166493.htm,January 15 2022,Earth Summit,
341,Uruguay,2012,URY,June 22 2012,June 23 2012,1.0,2.0,45.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-06/23/content_2167753.htm,January 15 2022,,
342,Argentina,2012,ARG,June 23 2012,June 25 2012,1.0,3.0,45.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-06/24/content_2168087.htm,January 15 2022,,
343,Chile,2012,CHL,June 25 2012,June 26 2012,1.0,4.0,45.0,Wen Jiabao,2.0,Premier,https://epaper.gmw.cn/gmrb/html/2012-06/27/nw.D110000gmrb_20120627_2-02.htm,January 15 2022,,
344,Belgium,2012,BEL,September 19 2012,September 20 2012,0.0,1.0,46.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/jrzg/2012-09/20/content_2228828.htm,January 16 2022,China-EU Summit,
